"","absolute","relative","cumulative","cumulative_rel"
"1",20,0.0833333333333333,20,0.0833333333333333
"2",20,0.0833333333333333,40,0.166666666666667
"3",20,0.0833333333333333,60,0.25
"4",20,0.0833333333333333,80,0.333333333333333
"5",20,0.0833333333333333,100,0.416666666666667
"6",20,0.0833333333333333,120,0.5
"7",20,0.0833333333333333,140,0.583333333333333
"8",20,0.0833333333333333,160,0.666666666666667
"9",20,0.0833333333333333,180,0.75
"10",20,0.0833333333333333,200,0.833333333333333
"11",20,0.0833333333333333,220,0.916666666666667
"12",20,0.0833333333333333,240,1
